voltage_V,current_A,temperature_C,soc_percent,soh_percent,internal_resistance_mOhm,charge_cycles,ambient_temp_C,fault
3.471,2.401,24.91,60.01,87.56,77.04,1170,28.68,1
3.454,2.288,28.14,85.53,93.45,42.29,165,23.94,0
3.58,1.977,60.1,56.63,76.65,55.29,638,29.22,1
3.779,2.44,27.0,66.74,90.2,38.28,627,30.79,0
3.71,1.794,28.87,79.11,93.53,40.35,449,24.19,0
3.526,2.032,32.27,41.9,95.34,42.83,550,28.23,0
3.528,2.443,57.24,68.52,84.97,60.62,854,28.89,1
2.823,2.523,32.67,59.17,86.99,47.0,1142,29.26,1
3.656,1.879,25.9,69.64,92.55,39.86,107,25.5,0
3.813,1.683,31.04,40.26,97.78,39.62,419,29.58,0
3.745,1.7,32.61,98.41,93.47,43.89,750,33.63,0
3.753,1.376,28.93,97.5,96.72,33.53,414,29.78,0
3.749,1.655,32.08,74.03,90.2,33.03,150,33.62,0
3.651,1.929,33.62,50.73,99.72,36.93,416,28.9,0
3.683,2.488,32.71,46.66,99.06,42.45,329,24.28,0
2.885,2.032,30.22,46.55,82.62,48.72,1057,21.58,1
3.552,1.473,61.32,66.25,89.03,62.53,793,34.83,1
3.779,2.572,33.47,91.14,93.43,36.45,399,24.89,0
3.642,1.906,30.3,69.37,99.48,38.59,795,28.5,0
3.525,1.778,32.63,36.82,70.51,97.84,891,24.94,1
3.79,1.531,33.25,92.26,99.02,42.5,677,25.12,0
3.825,1.695,35.36,53.55,98.0,38.88,392,26.03,0
3.427,2.31,28.07,23.93,76.28,92.55,1332,35.09,1
3.569,1.658,35.7,56.96,94.88,41.23,428,29.09,0
3.719,1.94,28.46,99.27,95.57,50.03,625,31.47,0
3.705,2.604,27.95,99.07,99.13,37.49,621,33.91,0
3.735,1.937,26.45,79.55,99.03,35.64,601,28.45,0
3.484,1.354,37.55,65.59,73.74,109.69,1208,28.48,1
3.53,1.646,28.57,58.85,81.2,113.85,761,29.13,1
3.488,1.395,58.43,30.35,89.53,52.07,500,32.44,1
3.741,1.964,28.51,53.73,95.11,39.63,164,24.5,0
2.877,3.709,28.43,36.14,91.54,47.18,1113,29.22,1
3.748,1.963,32.78,43.09,92.39,41.41,727,30.94,0
3.749,1.367,34.54,77.46,93.42,29.59,772,26.74,0
3.543,1.62,29.11,90.73,91.79,39.4,66,24.8,0
3.656,2.388,32.51,40.17,91.66,46.12,713,28.31,0
3.625,2.719,52.47,22.02,77.99,59.19,1121,32.98,1
3.029,1.642,34.05,46.74,91.04,37.58,747,33.1,1
3.649,1.832,35.49,44.1,94.9,43.41,627,28.63,0
3.624,2.469,19.98,82.11,91.64,38.73,347,28.08,0
3.558,1.577,28.85,91.65,91.58,31.66,471,29.56,0
3.701,2.029,34.69,69.02,85.91,85.79,1069,28.14,1
2.814,2.834,30.56,20.33,89.01,50.8,304,32.92,1
3.466,3.088,48.47,42.63,84.6,45.63,511,32.72,1
3.503,2.001,28.71,46.76,82.86,105.61,1308,36.11,1
2.992,2.627,33.09,22.74,90.01,57.29,526,27.87,1
3.257,2.353,20.92,15.35,81.08,82.6,1431,26.3,1
3.714,1.709,27.74,72.56,99.51,41.28,639,25.42,0
3.732,1.917,34.03,70.32,98.52,55.86,701,29.18,0
3.659,1.411,32.93,54.29,95.06,41.1,616,24.71,0
3.521,3.381,59.08,21.87,89.73,69.08,856,27.61,1
3.786,1.615,23.3,92.37,99.77,41.27,601,28.29,0
3.039,2.21,33.38,52.33,93.3,60.74,1116,33.07,1
3.711,2.244,24.76,53.63,94.96,41.86,680,27.04,0
3.841,2.394,27.49,80.77,91.65,38.06,63,28.48,0
3.01,2.748,33.34,22.82,94.11,42.62,350,39.66,1
3.57,1.995,49.16,73.82,87.69,66.6,1058,42.98,1
3.675,2.41,29.92,60.14,97.7,39.8,545,30.5,0
3.642,2.048,25.53,47.06,79.21,90.87,608,34.63,1
3.606,2.501,31.92,75.21,93.11,42.37,237,27.01,0
3.885,2.146,25.28,49.84,95.28,38.84,433,24.53,0
3.522,2.114,33.07,23.0,83.93,87.43,1268,30.01,1
3.614,2.384,36.94,52.95,88.05,97.69,882,28.7,1
3.729,1.734,25.33,50.29,99.0,40.74,271,27.57,0
3.612,2.499,33.8,69.61,82.03,116.71,1004,31.36,1
3.059,3.012,29.55,49.6,82.66,54.24,717,26.83,1
3.754,2.038,26.1,74.11,96.29,33.24,715,29.01,0
3.807,1.025,30.0,45.54,91.84,39.38,247,28.32,0
3.447,2.627,27.03,86.75,98.59,41.97,656,26.6,0
3.672,2.519,30.54,91.03,94.43,29.44,406,24.08,0
3.695,1.803,25.97,55.76,92.41,45.82,671,29.05,0
3.758,2.151,31.87,96.83,97.83,36.75,531,28.97,0
3.558,1.346,28.04,41.51,93.32,40.95,287,27.99,0
2.836,1.699,30.67,30.95,88.38,49.4,1076,30.53,1
2.846,2.679,29.87,31.38,92.9,56.26,686,33.97,1
3.635,1.382,28.46,81.84,93.96,44.04,76,26.72,0
3.72,2.041,36.32,50.02,73.68,92.82,628,33.5,1
2.954,2.357,35.17,47.77,81.4,57.04,333,34.5,1
3.095,2.273,33.84,18.37,91.55,48.03,1052,30.33,1
3.609,3.672,49.15,62.21,76.04,56.77,919,37.26,1
3.427,1.749,44.41,54.32,78.91,83.88,1372,26.44,1
2.889,2.781,26.94,11.14,93.72,44.8,604,30.0,1
3.636,1.651,34.23,50.69,94.19,34.94,661,24.6,0
3.665,2.214,52.63,33.78,76.67,47.66,747,21.71,1
3.612,1.488,37.62,27.14,89.32,110.77,688,26.78,1
3.402,2.244,56.96,66.9,79.67,54.6,775,31.39,1
2.812,2.552,26.78,15.58,83.55,54.27,1067,28.56,1
2.848,1.408,34.43,10.33,92.43,50.14,879,24.83,1
3.74,1.908,28.02,70.56,91.52,34.69,329,29.85,0
2.89,2.684,32.2,49.79,91.59,41.36,667,25.13,1
2.821,2.02,34.37,41.94,94.77,53.24,1049,22.83,1
3.606,1.848,29.25,74.64,90.81,34.22,426,29.9,0
3.773,2.14,31.74,84.53,91.6,37.69,166,31.2,0
3.086,2.975,27.89,32.14,87.0,62.13,447,24.9,1
2.833,2.566,34.36,24.24,83.2,58.63,930,30.82,1
3.723,2.97,28.2,84.98,91.18,36.72,124,29.16,0
3.001,2.479,30.44,19.87,86.88,46.71,1067,33.08,1
3.652,2.265,25.17,99.89,95.25,35.33,621,20.0,0
2.836,1.63,39.49,26.48,89.76,42.8,407,30.53,1
3.055,2.524,30.22,49.1,83.15,49.9,380,28.62,1
3.736,2.967,26.19,70.59,91.31,40.77,694,25.77,0
3.676,1.756,36.09,65.08,98.66,39.0,733,29.31,0
3.78,2.297,59.94,72.02,88.42,58.76,1163,38.55,1
3.655,2.327,28.5,95.68,94.82,46.21,594,31.39,0
3.671,1.727,28.78,86.7,97.78,40.32,647,23.67,0
3.262,2.102,35.44,48.07,83.83,116.42,1498,26.71,1
3.0,2.415,38.17,15.28,87.1,47.58,849,32.61,1
3.669,2.419,31.22,74.32,93.67,43.87,165,22.47,0
3.604,2.859,28.09,59.48,97.56,41.3,699,24.15,0
3.717,1.659,24.7,41.81,91.51,44.15,324,30.12,0
3.491,1.134,26.13,55.26,90.35,49.13,567,33.91,0
3.781,2.405,24.31,79.63,98.32,41.81,376,30.2,0
3.801,1.972,32.34,41.29,97.58,43.38,686,28.86,0
3.639,2.15,49.84,47.02,87.67,56.42,707,31.94,1
3.557,2.312,55.51,39.35,85.07,48.37,896,36.03,1
3.662,2.114,37.25,17.67,82.8,74.44,514,35.78,1
3.583,2.186,27.02,48.35,94.0,41.39,761,26.31,0
3.464,2.304,45.81,55.83,85.06,55.99,1100,30.75,1
3.649,1.229,28.02,50.07,91.92,37.17,349,29.45,0
3.023,2.726,32.8,14.44,83.63,54.58,1173,25.51,1
2.931,2.882,29.34,34.84,93.0,57.75,873,29.89,1
3.77,2.37,31.13,95.84,90.96,39.86,86,37.34,0
3.814,1.696,30.22,70.7,93.38,35.24,577,30.05,0
3.677,3.049,29.85,98.39,99.78,34.24,737,29.69,0
3.636,2.229,57.72,26.04,80.39,52.7,850,36.81,1
3.574,2.179,25.4,52.38,97.48,41.75,221,26.63,0
2.983,2.063,38.67,28.8,89.64,60.47,684,28.98,1
3.77,1.6,34.99,40.51,99.73,36.74,453,31.79,0
3.004,3.07,35.62,39.24,94.01,42.76,359,26.52,1
3.821,2.247,30.22,96.76,96.2,50.06,738,27.99,0
3.657,2.276,33.05,72.59,99.4,36.99,676,31.33,0
3.669,2.032,26.15,41.13,71.71,83.17,593,32.46,1
3.819,0.887,35.56,24.52,78.15,87.2,1177,31.49,1
3.684,3.004,30.45,52.03,99.04,41.87,413,28.97,0
3.562,2.571,44.59,22.94,86.82,114.87,626,23.59,1
3.767,1.967,21.38,66.92,92.69,40.11,735,31.21,0
2.887,2.52,23.03,12.71,83.68,57.58,958,33.32,1
3.582,1.673,30.68,58.95,94.04,32.68,224,28.28,0
3.779,2.729,29.86,91.9,97.3,45.57,707,23.39,0
3.756,1.836,29.59,93.19,98.75,39.16,346,26.08,0
3.724,1.015,35.62,58.81,92.63,44.56,247,34.09,0
3.1,2.887,34.58,32.62,90.13,49.86,509,27.34,1
3.837,1.873,34.17,30.41,79.49,104.85,943,31.22,1
3.575,1.979,53.68,70.1,85.31,63.74,931,28.36,1
3.768,1.966,26.76,62.04,98.95,34.26,341,29.91,0
3.651,1.967,29.05,91.09,99.03,42.99,748,26.87,0
3.625,2.355,61.97,51.9,79.63,49.91,588,27.66,1
3.006,3.563,32.68,19.76,88.97,54.17,807,27.88,1
2.962,3.031,36.57,18.84,86.03,57.59,1018,21.76,1
2.95,3.245,39.62,16.48,80.45,50.56,729,37.93,1
2.807,3.238,31.32,59.97,80.13,56.1,535,21.24,1
2.978,3.674,30.76,36.8,91.18,54.92,1009,26.65,1
3.577,1.99,28.18,65.53,79.41,83.9,683,31.31,1
3.437,2.186,52.21,63.3,89.91,49.57,414,34.26,1
3.688,1.928,29.38,42.03,94.51,41.23,274,32.68,0
3.603,1.983,26.9,96.8,90.4,39.99,441,33.57,0
3.853,2.466,27.74,82.04,96.41,43.41,463,27.89,0
3.621,1.446,56.97,24.52,75.25,41.27,620,36.12,1
3.591,2.405,60.85,56.51,80.52,67.17,1011,33.72,1
3.574,1.665,16.6,85.68,91.99,43.78,772,30.93,0
3.552,2.165,32.73,49.73,79.38,113.8,787,39.89,1
3.54,2.585,61.91,53.19,75.99,64.3,439,34.08,1
3.804,2.316,33.09,95.1,94.72,39.28,472,26.75,0
3.513,2.313,28.94,41.06,85.31,117.46,1065,33.21,1
3.483,1.1,38.27,24.46,76.68,80.49,994,30.66,1
2.874,3.128,29.57,56.77,91.32,51.3,1046,23.83,1
3.901,2.064,27.78,55.4,93.25,36.08,603,22.69,0
3.578,3.371,27.69,54.84,98.08,36.99,790,27.62,0
3.694,1.95,31.62,94.73,95.75,39.48,408,32.27,0
3.771,2.119,27.47,64.1,91.38,38.8,224,30.02,0
3.048,2.284,35.15,37.6,89.65,45.84,627,25.14,1
3.493,1.902,29.78,63.91,74.47,114.82,560,25.35,1
3.37,2.359,62.31,54.83,88.69,65.86,647,34.63,1
3.538,1.564,38.15,17.04,79.25,88.0,748,30.32,1
3.772,2.803,27.45,63.49,90.19,32.99,259,32.82,0
3.563,1.482,25.1,46.13,77.99,81.03,1186,31.4,1
3.773,2.132,56.45,35.7,79.89,56.73,1170,28.15,1
3.525,2.406,33.65,53.14,71.92,112.5,1193,29.88,1
3.753,1.706,32.91,45.93,94.36,50.0,646,31.9,0
3.864,1.54,27.29,40.51,92.58,36.25,413,27.89,0
3.656,1.667,45.57,62.89,77.35,51.93,801,32.68,1
3.52,2.678,35.21,54.04,84.45,86.93,1058,29.92,1
3.695,2.635,60.92,27.76,76.36,51.51,1022,28.29,1
3.551,2.388,52.83,74.0,87.44,46.65,1089,33.92,1
3.497,2.192,32.16,31.14,72.17,107.21,769,34.61,1
3.6,1.669,32.82,64.55,90.04,36.96,182,26.25,0
3.446,2.365,28.05,15.48,89.66,92.8,1481,35.1,1
3.733,2.031,28.64,82.74,98.51,41.19,587,25.66,0
3.766,2.805,27.42,94.67,99.69,36.57,308,27.34,0
3.345,1.744,26.68,19.1,79.91,91.98,724,23.62,1
3.669,1.748,32.61,47.92,89.52,91.64,1385,29.96,1
3.695,2.067,29.92,59.25,99.94,25.58,421,29.19,0
3.636,1.925,32.11,26.96,84.6,83.9,909,32.2,1
3.683,1.898,29.34,71.83,93.62,29.73,384,26.24,0
3.484,2.133,32.1,56.73,76.02,107.19,525,32.09,1
3.555,2.014,34.8,80.2,91.06,31.04,560,24.19,0
2.951,3.193,32.12,14.06,87.34,51.48,337,33.13,1
3.669,1.538,27.14,44.12,95.82,48.14,571,29.68,0
3.047,2.831,34.29,56.93,93.77,49.39,728,22.62,1
3.593,2.342,30.51,63.58,71.13,91.59,597,36.63,1
3.621,2.558,47.81,31.66,78.08,43.47,890,33.4,1
3.522,2.56,27.8,88.4,90.99,45.5,727,26.82,0
3.657,1.656,33.24,73.17,93.81,45.47,279,30.73,0
3.374,1.794,25.24,17.64,88.18,118.44,909,31.73,1
3.666,2.422,45.84,63.19,80.41,68.77,603,29.66,1
3.621,2.055,50.83,64.25,75.18,58.61,680,37.34,1
2.917,2.968,34.26,33.7,81.8,51.92,846,31.18,1
3.615,2.658,59.78,69.49,75.53,51.95,1016,38.77,1
3.682,1.701,33.94,55.13,99.04,34.26,283,25.95,0
3.591,1.569,60.93,62.32,76.3,55.04,416,40.56,1
3.584,2.059,36.23,49.85,86.49,91.89,753,33.62,1
3.698,2.402,25.82,48.35,94.21,48.75,100,28.48,0
3.618,2.383,34.93,89.89,90.76,41.58,311,29.22,0
3.485,1.7,27.45,94.12,99.01,38.03,616,26.68,0
3.006,3.627,33.1,46.5,80.02,35.06,938,31.97,1
3.691,2.638,45.69,34.7,86.92,69.21,548,28.96,1
3.768,2.328,30.33,82.6,92.21,48.14,324,26.97,0
3.585,2.198,33.37,46.43,73.73,105.17,974,29.15,1
3.792,1.505,33.61,89.76,96.16,41.88,255,26.93,0
2.83,2.181,35.07,32.84,91.42,65.69,478,34.58,1
2.881,2.963,32.25,37.97,84.56,45.02,863,26.58,1
2.943,2.827,32.14,47.43,81.4,62.06,878,21.97,1
3.935,1.367,26.75,52.62,92.34,32.44,671,25.37,0
3.679,2.063,57.48,65.8,85.75,67.48,501,34.66,1
3.033,2.776,37.3,44.33,88.8,52.55,964,28.12,1
3.561,1.967,36.71,66.36,82.04,72.46,1273,39.66,1
3.451,2.217,24.96,67.76,73.49,108.07,1051,26.46,1
3.604,2.889,51.55,21.33,76.92,62.49,665,33.53,1
3.846,2.068,31.39,26.17,70.13,85.81,671,27.18,1
3.51,1.982,31.08,59.89,93.59,38.21,660,29.53,0
3.715,2.084,27.82,90.2,92.47,43.4,655,33.71,0
3.706,3.299,61.25,21.98,86.77,59.36,984,32.54,1
3.661,2.12,30.47,71.86,94.44,38.97,540,28.08,0
3.575,2.89,58.21,53.39,76.62,51.62,969,22.68,1
3.298,1.369,31.46,66.6,76.08,96.98,578,30.34,1
3.727,2.173,27.64,64.24,99.92,40.02,454,26.47,0
3.535,1.785,34.77,26.52,70.9,87.41,1460,27.85,1
3.753,1.608,30.95,60.73,91.33,38.66,482,25.12,0
3.611,1.505,31.39,65.47,97.55,37.47,480,18.96,0
3.822,2.871,30.56,87.95,92.42,41.67,730,26.05,0
2.998,2.94,31.42,48.02,88.05,48.28,849,35.01,1
3.004,2.926,31.87,54.53,82.35,55.65,348,30.05,1
3.48,2.74,31.07,58.17,78.15,115.07,511,35.83,1
3.353,1.687,37.5,27.3,78.05,96.42,867,26.88,1
3.773,2.069,49.88,59.6,75.25,46.17,944,25.26,1
3.721,1.763,32.52,65.24,82.48,100.84,770,24.25,1
3.546,2.608,47.88,66.24,78.06,49.49,1090,28.05,1
3.534,2.062,30.21,80.0,95.15,37.81,412,26.16,0
3.696,2.521,35.12,77.12,95.79,39.04,757,31.17,0
3.68,2.571,31.68,46.67,96.47,43.82,497,29.25,0
3.689,2.493,25.11,64.55,94.46,35.76,676,30.63,0
3.457,2.558,40.31,38.56,80.39,106.02,827,40.12,1
2.886,2.882,33.58,59.4,83.66,46.94,886,30.09,1
3.665,2.267,33.97,79.36,91.64,41.95,456,29.76,0
3.638,1.752,54.88,58.26,75.15,53.86,1017,40.33,1
3.01,1.254,28.95,17.03,81.12,51.16,1114,29.48,1
3.425,1.738,33.88,69.55,76.88,79.56,546,37.17,1
2.991,3.189,29.32,32.33,82.5,51.37,958,23.88,1
2.879,2.617,29.04,16.58,88.94,56.24,972,40.26,1
3.688,1.646,33.53,96.3,94.95,39.85,170,26.9,0
3.654,2.404,27.39,44.69,89.13,73.71,1367,35.62,1
3.696,2.11,33.98,82.22,94.07,35.7,220,30.31,0
3.878,1.516,24.95,62.45,91.95,48.17,521,20.55,0
3.616,2.033,41.36,47.59,82.17,84.99,694,30.11,1
3.466,1.766,54.1,22.67,81.45,47.68,1003,33.9,1
3.585,0.591,51.1,40.58,88.34,47.53,956,34.0,1
3.539,2.174,37.6,17.01,78.3,110.13,532,27.95,1
3.647,2.137,49.85,45.25,85.71,51.12,606,33.01,1
3.596,2.799,63.21,48.62,81.32,54.11,601,36.48,1
3.711,1.658,28.03,64.0,94.26,32.46,113,25.04,0
3.431,1.22,28.06,19.62,77.48,91.22,1142,35.45,1
3.794,2.518,31.66,46.94,95.01,44.56,570,30.57,0
3.523,2.155,25.39,65.96,92.58,43.35,255,27.04,0
3.861,1.24,32.29,62.28,96.19,41.93,664,30.34,0
3.738,1.266,28.96,76.38,99.29,46.36,291,36.42,0
3.773,1.664,32.24,60.58,91.37,41.51,210,29.63,0
3.724,2.079,33.95,72.61,93.54,35.26,735,30.6,0
3.694,2.415,32.87,66.02,99.69,38.25,522,28.72,0
3.725,2.757,45.19,51.35,83.74,94.94,518,34.21,1
3.861,1.762,24.89,82.59,92.15,43.0,310,26.29,0
3.853,1.738,22.47,71.67,98.9,49.3,724,29.29,0
3.605,1.823,26.98,78.56,98.03,43.13,737,29.82,0
3.599,1.231,30.33,49.87,99.5,36.63,245,28.86,0
3.637,1.413,28.55,59.26,99.42,39.47,480,25.69,0
3.596,1.98,30.45,68.07,97.76,33.08,316,28.68,0
3.562,2.441,28.82,58.24,87.42,104.47,722,22.37,1
2.824,2.408,29.5,20.1,90.41,46.45,360,33.12,1
3.463,1.955,50.27,79.36,89.69,60.05,561,30.05,1
3.797,2.158,25.93,48.89,92.51,31.28,737,26.77,0
3.643,2.134,29.49,41.38,73.52,101.33,744,34.37,1
3.566,2.107,28.28,47.2,80.48,81.53,1454,31.6,1
3.785,2.304,51.87,59.33,78.51,61.67,723,35.57,1
3.086,2.37,28.7,41.22,86.57,45.86,935,33.75,1
3.497,1.777,28.75,95.98,97.53,42.72,612,26.34,0
3.461,1.731,31.29,54.31,95.61,33.28,711,26.73,0
3.666,1.881,30.56,63.89,90.3,40.37,281,25.78,0
3.07,2.506,34.85,17.06,88.92,40.72,1103,29.64,1
3.679,1.618,33.8,63.57,98.22,39.02,143,23.68,0
3.473,1.494,35.86,59.67,87.21,108.92,890,29.01,1
3.642,1.488,58.51,71.2,83.98,49.22,1087,25.79,1
3.373,2.428,34.67,68.64,87.76,114.08,1353,26.02,1
3.496,2.005,61.5,56.4,77.57,46.52,788,32.62,1
3.362,2.109,37.51,58.33,86.21,100.49,1378,31.19,1
3.7,1.53,28.54,97.73,91.11,34.93,140,30.57,0
3.731,2.679,26.37,82.93,97.32,30.01,406,29.83,0
3.766,2.134,32.54,73.89,90.13,48.25,160,27.55,0
3.555,2.341,51.88,56.67,78.46,53.8,983,32.66,1
3.572,2.105,33.53,82.52,94.33,47.18,447,26.0,0
3.751,2.892,29.85,84.76,96.88,37.88,220,26.29,0
3.618,1.329,31.54,99.47,95.65,30.77,118,28.89,0
3.555,2.208,23.12,70.14,99.27,34.54,448,28.15,0
3.564,1.636,63.0,41.01,89.86,55.97,1167,31.77,1
3.019,3.047,40.94,30.17,91.61,45.24,1024,23.56,1
3.246,2.002,30.4,50.51,87.25,92.84,1426,29.13,1
3.707,1.174,33.07,74.4,92.44,51.05,456,29.99,0
3.647,1.662,36.14,94.11,94.77,49.82,308,32.01,0
3.401,2.337,28.98,65.69,76.93,119.81,1127,25.87,1
3.76,1.698,31.08,57.01,98.91,41.91,775,33.34,0
3.508,1.882,35.3,52.76,80.33,91.54,1379,37.4,1
3.713,1.41,31.4,49.67,92.86,35.54,337,34.8,0
3.746,3.05,29.61,96.45,94.51,39.26,322,30.06,0
3.702,2.735,32.88,61.54,95.58,39.66,97,28.62,0
3.764,2.338,31.38,85.85,99.87,42.74,355,25.46,0
3.056,2.664,29.97,31.22,84.35,46.6,1096,30.73,1
3.699,1.096,28.2,84.11,99.89,45.38,266,26.51,0
3.818,1.729,28.0,74.07,91.95,34.7,777,25.34,0
2.855,3.06,30.29,29.97,88.19,46.09,515,32.87,1
3.612,1.877,31.53,61.61,81.66,113.6,632,30.74,1
3.636,2.253,29.11,86.74,90.26,31.75,476,28.46,0
3.658,1.745,23.3,76.44,91.39,41.98,374,22.43,0
3.674,2.696,26.11,43.42,89.8,88.62,1365,31.95,1
3.757,2.749,27.83,99.41,90.08,33.01,150,33.12,0
3.506,1.778,30.69,56.6,89.71,99.91,598,30.12,1
3.602,1.862,34.58,49.35,97.75,49.19,66,20.06,0
3.783,2.482,28.92,47.94,92.03,44.26,159,28.63,0
3.673,1.383,28.88,64.52,90.29,44.47,67,26.76,0
3.796,2.082,31.34,86.57,92.01,26.6,499,29.16,0
3.62,1.626,20.18,17.03,75.63,101.4,1335,27.28,1
2.952,1.983,33.88,19.02,94.99,41.1,335,35.32,1
3.629,3.03,55.58,58.92,82.74,47.55,622,32.63,1
3.708,3.069,64.22,65.29,83.78,52.82,646,33.2,1
3.667,1.725,33.8,79.79,91.63,45.71,643,29.28,0
3.067,2.881,31.3,19.13,86.26,55.96,370,30.67,1
3.697,2.428,31.89,98.13,98.95,37.0,466,26.84,0
3.656,1.622,27.64,45.0,93.41,44.4,124,27.0,0
3.563,3.347,53.82,37.98,75.83,50.58,608,35.74,1
3.689,2.95,47.57,35.77,87.14,53.08,997,25.58,1
3.544,2.751,57.4,47.75,76.71,54.04,742,31.5,1
3.729,1.364,33.18,42.31,98.25,38.07,197,26.19,0
3.642,2.315,28.63,67.07,98.03,40.77,148,31.77,0
3.824,1.986,34.15,64.22,91.69,36.82,495,26.34,0
3.628,2.953,27.38,98.57,99.12,26.86,178,30.57,0
3.466,1.368,27.43,96.54,91.17,27.25,181,28.83,0
3.516,2.395,57.13,71.71,83.94,46.37,929,27.94,1
3.253,2.602,39.48,33.21,82.05,116.0,1104,32.18,1
3.506,2.178,60.79,32.85,75.92,55.95,1008,32.34,1
3.603,1.72,29.35,29.2,83.46,71.7,1210,32.0,1
3.712,2.024,30.54,83.07,95.51,42.95,699,26.76,0
3.602,2.213,54.04,23.57,82.34,51.21,988,32.65,1
2.911,3.034,33.62,14.93,85.74,40.77,1133,24.88,1
3.584,1.675,28.8,80.0,93.34,39.57,488,26.11,0
3.722,1.356,31.58,61.98,97.46,40.7,438,29.5,0
3.718,2.076,27.72,88.31,94.74,48.86,432,27.28,0
3.761,1.044,31.86,56.62,95.73,32.59,249,31.55,0
3.675,2.236,31.86,65.37,81.17,81.02,800,27.48,1
3.422,1.324,34.1,38.29,76.99,103.58,857,25.51,1
3.671,3.116,28.99,54.2,92.81,40.62,690,25.44,0
3.675,1.012,30.23,42.99,81.52,104.27,1031,27.74,1
2.988,2.779,33.96,35.87,80.61,53.87,431,30.24,1
3.622,2.743,28.72,73.07,97.77,39.58,54,27.64,0
3.342,2.484,42.39,19.57,88.55,86.14,1237,35.33,1
3.745,2.032,30.35,43.27,97.9,37.99,600,24.49,0
3.591,1.385,31.86,56.26,97.86,43.34,457,29.53,0
3.512,3.158,60.26,32.58,77.23,56.18,447,30.0,1
3.623,1.558,36.4,87.29,98.46,39.65,146,31.75,0
3.624,1.957,52.39,34.26,76.44,58.47,479,33.31,1
3.639,1.408,34.38,53.12,93.78,35.25,255,28.69,0
3.687,2.185,29.25,92.0,96.95,41.16,285,25.22,0
3.676,1.892,61.42,75.86,87.69,36.51,1009,24.0,1
3.528,1.443,60.87,60.28,83.81,56.52,855,36.11,1
3.764,2.008,31.07,63.16,91.14,52.62,674,25.44,0
3.7,1.874,29.75,50.81,92.29,51.08,396,27.74,0
3.545,1.865,29.61,52.11,90.05,42.31,622,28.18,0
3.636,2.564,33.2,54.74,98.75,50.11,639,24.17,0
3.628,0.989,31.45,66.67,94.44,40.09,194,26.74,0
2.829,3.087,36.9,34.67,82.1,31.65,972,31.72,1
2.917,3.024,32.07,58.59,90.46,46.27,1049,19.1,1
3.851,2.377,30.03,42.18,91.35,44.74,541,30.12,0
3.597,1.662,28.64,94.65,97.02,37.12,456,29.77,0
3.75,1.762,27.17,89.19,95.97,40.14,180,23.7,0
3.603,1.566,33.89,82.31,99.49,43.35,788,32.58,0
3.837,1.879,25.62,66.52,98.83,49.48,487,29.37,0
3.573,0.975,59.61,38.52,79.53,51.55,414,33.94,1
3.868,2.509,28.88,42.12,91.07,41.21,442,30.45,0
3.073,2.353,32.62,18.99,85.53,63.52,1035,25.89,1
